angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.0,0.01,[803 166 366 366],[804 288 365 365],0.0,0.0,0.0,0.0,0.99,0.96,0.0,0.01,0.0,0.01,0.01,0.0
0.0,0.01,[803 166 366 366],[804 288 365 365],0.0,0.0,0.0,0.0,0.99,0.96,0.0,0.01,0.0,0.01,0.01,0.0
0.0,,[803 166 365 365],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[803 166 366 366],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[803 166 369 369],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[803 166 369 369],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[803 166 369 369],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[808 169 362 362],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[808 169 362 362],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[812 181 360 360],,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,[812 178 360 360],,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,[812 178 360 360],,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,[816 172 354 354],,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,,[816 172 354 354],,0.0,,0.0,,0.98,,0.0,,0.0,,0.02,
0.0,0.01,[817 173 355 355],[800 281 382 382],0.0,0.0,0.0,0.0,0.98,0.97,0.0,0.01,0.0,0.0,0.02,0.0
0.0,0.01,[817 173 355 355],[800 281 382 382],0.0,0.0,0.0,0.0,0.98,0.97,0.0,0.01,0.0,0.0,0.02,0.0
0.0,0.01,[817 173 355 355],[800 281 382 382],0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.01,0.0,0.0,0.02,0.0
0.0,0.01,[817 173 353 353],[796 273 393 393],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[817 173 353 353],[791 268 401 401],0.0,0.0,0.0,0.0,0.99,0.98,0.0,0.01,0.0,0.0,0.01,0.01
0.0,0.01,[818 173 352 352],[799 273 392 392],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.01,[818 173 352 352],[799 273 392 392],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.01,[818 173 352 352],[799 273 392 392],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.01,[817 173 353 353],[806 280 377 377],0.0,0.0,0.0,0.0,0.99,0.98,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.01,[818 173 353 353],[806 280 377 377],0.0,0.0,0.0,0.0,0.99,0.98,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.01,[819 173 352 352],[803 282 377 377],0.0,0.0,0.0,0.0,0.99,0.97,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.01,[819 173 352 352],[800 281 382 382],0.0,0.0,0.0,0.0,0.99,0.97,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.01,[815 169 361 361],[803 282 377 377],0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.01,0.0,0.0,0.02,0.0
0.0,0.01,[817 171 356 356],[803 282 377 377],0.0,0.0,0.0,0.0,0.99,0.98,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.01,[817 171 356 356],[803 282 377 377],0.0,0.0,0.0,0.0,0.99,0.98,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.0,[814 171 358 358],[801 277 383 383],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[814 171 358 358],[801 277 383 383],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[814 171 358 358],[801 277 383 383],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[815 172 355 355],[794 269 393 393],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[815 172 355 355],[794 269 393 393],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[814 173 355 355],[791 266 399 399],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.0,[814 173 355 355],[791 266 399 399],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.0,[814 173 355 355],[791 266 399 399],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.01,0.0,0.0,0.01,0.0
0.0,0.0,[814 169 360 360],[791 263 399 399],0.0,0.0,0.0,0.0,0.98,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[814 169 360 360],[795 275 388 388],0.0,0.0,0.0,0.0,0.98,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,0.0,[817 172 357 357],[792 273 390 390],0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.01,0.0
0.0,,[817 172 357 357],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,[817 172 357 357],,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,0.02,[814 169 363 363],[812 297 359 359],0.0,0.0,0.0,0.0,0.98,0.94,0.0,0.02,0.0,0.02,0.01,0.0
0.0,0.02,[815 170 361 361],[809 292 366 366],0.0,0.0,0.0,0.0,0.98,0.95,0.0,0.01,0.0,0.01,0.01,0.0
0.0,0.02,[814 169 365 365],[818 306 340 340],0.0,0.0,0.0,0.0,0.97,0.94,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.03,[814 169 365 365],[820 309 335 335],0.0,0.0,0.0,0.01,0.96,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.03,[814 169 365 365],[820 309 335 335],0.0,0.0,0.0,0.01,0.96,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.01,[812 166 368 368],[821 310 338 338],0.0,0.0,0.0,0.01,0.97,0.92,0.0,0.02,0.0,0.04,0.03,0.0
0.0,0.02,[812 166 368 368],[820 305 343 343],0.0,0.0,0.0,0.0,0.97,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.02,[817 168 365 365],[817 300 352 352],0.0,0.0,0.0,0.0,0.97,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.02,[817 168 365 365],[817 300 352 352],0.0,0.0,0.0,0.0,0.97,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.02,[817 168 365 365],[817 300 352 352],0.0,0.0,0.0,0.0,0.97,0.93,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.02,[817 169 363 363],[816 299 355 355],0.0,0.0,0.0,0.0,0.97,0.94,0.0,0.02,0.0,0.02,0.03,0.0
0.0,0.01,[817 169 363 363],[815 297 358 358],0.0,0.0,0.0,0.0,0.97,0.95,0.0,0.01,0.0,0.02,0.03,0.0
0.0,0.01,[815 168 368 368],[821 308 342 342],0.0,0.0,0.0,0.01,0.95,0.93,0.0,0.02,0.0,0.03,0.05,0.0
0.0,0.01,[815 168 368 368],[821 308 342 342],0.0,0.0,0.0,0.01,0.94,0.93,0.0,0.02,0.0,0.03,0.05,0.0
0.0,,[817 167 367 367],,0.0,,0.0,,0.96,,0.0,,0.0,,0.04,
0.0,0.01,[815 167 366 366],[811 291 371 371],0.0,0.0,0.0,0.0,0.95,0.96,0.0,0.01,0.0,0.01,0.05,0.0
0.0,,[814 167 366 366],,0.0,,0.0,,0.94,,0.0,,0.0,,0.06,
0.0,,[820 171 360 360],,0.0,,0.0,,0.96,,0.0,,0.0,,0.04,
0.0,,[820 171 359 359],,0.0,,0.0,,0.97,,0.0,,0.0,,0.03,
0.0,,[820 171 359 359],,0.0,,0.0,,0.97,,0.0,,0.0,,0.03,
0.0,0.02,[819 172 366 366],[817 295 358 358],0.0,0.0,0.0,0.0,0.99,0.96,0.0,0.01,0.0,0.01,0.01,0.0
0.0,0.02,[819 172 366 366],[817 295 358 358],0.0,0.0,0.0,0.0,0.99,0.96,0.0,0.01,0.0,0.01,0.01,0.0
0.0,0.01,[820 174 359 359],[822 296 351 351],0.0,0.0,0.0,0.0,1.0,0.97,0.0,0.0,0.0,0.01,0.0,0.0
0.0,0.01,[821 175 357 357],[822 296 351 351],0.0,0.0,0.0,0.0,1.0,0.97,0.0,0.0,0.0,0.01,0.0,0.0
0.0,0.01,[821 175 357 357],[822 296 351 351],0.0,0.0,0.0,0.0,1.0,0.97,0.0,0.0,0.0,0.01,0.0,0.0
